Title,Link,Description,Time,ImageURL
Drug Combo JAKs Up Immunotherapy in Two Clinical Trials,https://www.cancer.gov/news-events/cancer-currents-blog/2024/jak-inhibitor-improves-cancer-immunotherapy,"August 8, 2024 — Adding a JAK inhibitor to an immune checkpoint inhibitor shrank tumors in more than half of trial participants with lung cancer or lymphoma.",2024-08-08,https://www.nih.gov/sites/default/files/styles/thumbnail/public/health-info/clinical-trials/OCC-Jak-Mechanism.jpg
Vigorous exercise not linked to increased risk of adverse cardiac events in long QT syndrome,https://www.nih.gov/news-events/news-releases/vigorous-exercise-not-linked-increased-risk-adverse-cardiac-events-long-qt-syndrome,"July 25, 2024 — NIH-supported study could lessen exercise restrictions for those with genetic heart condition.",2024-07-25,https://www.nih.gov/sites/default/files/styles/thumbnail/public/news-events/news-releases/2024/20240725-running.jpg
Immunotherapy approach shows potential in some people with metastatic solid tumors,https://www.nih.gov/news-events/news-releases/immunotherapy-approach-shows-potential-some-people-metastatic-solid-tumors,"July 11, 2024 — NIH researchers achieved tumor shrinkage in three of seven patients with colorectal cancers.",2024-07-11,https://www.nih.gov/sites/default/files/styles/thumbnail/public/news-events/news-releases/2024/20240711-immunotherapy-scans-cropped.jpg
Trial Establishes Preferred Treatment for Some People with Esophageal Cancer,https://www.cancer.gov/news-events/cancer-currents-blog/2024/esophageal-cancer-flot-perioperative-chemotherapy,"July 9, 2024 — A large clinical trial looks to have settled a debate over how best to treat most people with locally advanced esophageal cancer, where the disease has spread just outside of the esophagus but not to other parts of the body.",2024-07-09,https://www.nih.gov/sites/default/files/styles/thumbnail/public/health-info/clinical-trials/stage-2b-esophageal-cancer.jpg
Experimental mRNA Vaccine Hints at Potential Against Glioblastoma,https://www.cancer.gov/news-events/cancer-currents-blog/2024/glioblastoma-mrna-vaccine-layered-nanoparticle,"June 11, 2024 — A nanoparticle-based mRNA vaccine improved survival in dogs with brain cancer and induced rapid immune responses in a small study in humans with glioblastoma.",2024-06-11,https://www.nih.gov/sites/default/files/styles/thumbnail/public/health-info/clinical-trials/enzyme-unwinding-dna-strand-rna.jpg
U.S. clinical trials begin for twice-yearly HIV prevention injection,https://www.nih.gov/news-events/news-releases/us-clinical-trials-begin-twice-yearly-hiv-prevention-injection,"June 4, 2024 — Studies will focus on priority populations underrepresented in HIV clinical research.",2024-06-04,https://www.nih.gov/sites/default/files/styles/thumbnail/public/news-events/news-releases/2024/20240604-hiv.jpg
Pembrolizumab Provides First-Ever Overall Survival Improvement in Kidney Cancer,https://www.cancer.gov/news-events/cancer-currents-blog/2024/kidney-cancer-pembrolizumab-increases-survival?cid=eb_govdel,"May 21, 2024 — Pembrolizumab (Keytruda) treatment after surgery helped people with clear-cell renal cell carcinoma live longer in a large trial—a first for this cancer.",2024-05-21,https://www.nih.gov/sites/default/files/styles/thumbnail/public/health-info/clinical-trials/kidney-cancer-stage-3.jpg
"Acetaminophen shows promise in warding off acute respiratory distress syndrome, organ injury in patients with sepsis",https://www.nih.gov/news-events/news-releases/acetaminophen-shows-promise-warding-acute-respiratory-distress-syndrome-organ-injury-patients-sepsis,"May 20, 2024 — Findings from NIH-supported clinical trial suggests the drug has the greatest benefit in the sickest patients.",2024-05-20,https://www.nih.gov/sites/default/files/styles/thumbnail/public/news-events/news-releases/2024/20240520-iv-fluids.jpeg
"NIH to open long COVID clinical trials to study sleep disturbances, exercise intolerance, and post exertional malaise",https://www.nih.gov/news-events/news-releases/nih-open-long-covid-clinical-trials-study-sleep-disturbances-exercise-intolerance-post-exertional-malaise,"May 8, 2024 — Part of the NIH RECOVER Initiative, trials will test four treatments.",2024-05-08,https://www.nih.gov/sites/default/files/styles/thumbnail/public/news-events/news-releases/2024/20240508-covid-recover.jpg
"Drug shows promise for slowing progression of rare, painful genetic disease",https://www.nih.gov/news-events/news-releases/drug-shows-promise-slowing-progression-rare-painful-genetic-disease,"April 3, 2024 — NIH-supported clinical trial could lead to first effective treatment for ACDC disease.",2024-04-03,https://www.nih.gov/sites/default/files/styles/thumbnail/public/news-events/news-releases/2024/20240403-acdc.jpg
Severe lung infection during COVID-19 can cause damage to the heart,https://www.nih.gov/news-events/news-releases/severe-lung-infection-during-covid-19-can-cause-damage-heart,"March 20, 2024 — NIH supported study shows that the virus that causes COVID-19 can damage the heart without directly infecting heart tissue.",2024-03-20,https://www.nih.gov/sites/default/files/styles/thumbnail/public/news-events/news-releases/2024/20240320-covid-heart.jpg
Learning from Our Pets,https://ccr.cancer.gov/news/milestones-2024/learning-from-our-pets,"March 11, 2024 — Studying osteosarcoma in dogs may improve treatment options for people and pets.",2024-03-11,https://www.nih.gov/sites/default/files/styles/thumbnail/public/health-info/clinical-trials/person-walking-dog.jpg
