Title,Time,Link
"11 medtech startups to watch, according to VCs","August 27, 2024",https://sifted.eu/articles/medtech-startup-vc-trends/
AI surgery tech startup raises $180m from investors including BlackRock,"August 15, 2024",https://sifted.eu/articles/caresyntax-surgery-tech-raise-news/
Riding the Wegovy wave: The startups shifting focus to GLP-1s to tap the $150bn weight loss drug market,"August 13, 2024",https://sifted.eu/articles/startups-wegovy-ozempic-shift/
A male-founded startup became Europe’s first femtech unicorn. Does it matter?,"August 1, 2024",https://sifted.eu/articles/male-founded-startup-europes-first-femtech-unicorn/
Flo Health raises record $200m for period tracking app and becomes Europe’s first femtech unicorn,"July 30, 2024",https://sifted.eu/articles/flo-health-unicorn-raise-news/
Healthtech Zoe says US is 'biggest opportunity' as it raises $15m for stateside expansion,"July 30, 2024",https://sifted.eu/articles/zoe-raise-15m-us-expansion-news/
GenAI investment to delay profitability at digital health unicorn Kry,"July 23, 2024",https://sifted.eu/articles/digital-health-unicorn-kry-gen-ai-news/
6 healthtech ideas VCs want you to pitch in 2024,"July 19, 2024",https://sifted.eu/articles/vc-healthtech-ideas/
The Kry founders factory: Meet 15 employees-turned-founders,"July 18, 2024",https://sifted.eu/articles/kry-founders-factory/
Digital health startup Huma raises $80m Series D and makes layoffs,"July 16, 2024",https://sifted.eu/articles/huma-startup-raise-layoffs-news/
Monzo alumni raises $3.5m to automate admin in doctors surgeries,"July 4, 2024",https://sifted.eu/articles/healthtech-1-raise-monzo-alumni-news/
AI prosthetic limbs and advanced sensors: how one startup is building tech for next gen wearables,"June 28, 2024",https://sifted.eu/articles/esper-bionics-raise-news/
How AI startups working on clinical trials for cancer could find a breakthrough before big pharma,"June 27, 2024",https://sifted.eu/articles/ai-startups-clinical-trials-cancer-big-pharma-brnd/
The EF-backed startup building a novel device for the anal sex market,"June 27, 2024",https://sifted.eu/articles/polari-sextech-raise-news/
UK startup Sava raises $8m to develop next-gen continuous glucose monitor,"June 21, 2024",https://sifted.eu/articles/sava-raise-balderton/
Where's Europe's next digital health unicorn?,"June 20, 2024",https://sifted.eu/articles/europe-digital-health-unicorn-hlth/
AI startup Tandem Health raises $9.5m to scale its healthcare co-pilot,"June 19, 2024",https://sifted.eu/articles/ai-startup-tandem-round-northzone-news/
Lakestar-backed blood testing startup expands to tap growing preventative care market,"June 18, 2024",https://sifted.eu/articles/aware-amsterdam-lakestar-healthtech-news/
Drug discovery biotech LabGenius raises a £35m Series B,"May 21, 2024",https://sifted.eu/articles/labgenius-atomico-biotech-raise-news/
Remote cancer patient monitoring platform raises $25m to expand internationally and build out pharma offering,"May 21, 2024",https://sifted.eu/articles/resilience-cancer-health-raise-news/
Digital health company Numan’s subsidiary sold supplements unlawfully for years,"May 17, 2024",https://sifted.eu/articles/numan-supplements-health-unlawful/
AI-assisted pregnancies: Ovom raises €4.8m for digi-physical fertility clinics,"April 30, 2024",https://sifted.eu/articles/ovom-ai-pregnancy-raise-news/
Daniel Ek’s body scanning healthtech Neko Health is expanding to the UK,"April 29, 2024",https://sifted.eu/articles/daniel-eks-body-scanning-neko-health-is-expanding-to-the-uk-news/
This digital health startup was on the verge of bankruptcy 18 months ago. Now it’s expanding to the US,"April 29, 2024",https://sifted.eu/articles/joint-academy-startup-expansion/
